
Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:22 2018
Timers Off: Sat Sep  1 17:14:23 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:32 2018
Timers Off: Sat Sep  1 17:14:33 2018

Wall Time:        0.50 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:14:46 2018
Timers Off: Sat Sep  1 17:14:47 2018

Wall Time:        0.68 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:27 2018
Timers Off: Sat Sep  1 17:15:28 2018

Wall Time:        0.90 seconds


-----------------------------------------------------------

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:15:49 2018
Timers Off: Sat Sep  1 17:15:50 2018

Wall Time:        1.19 seconds

HF: DIIS                    :      0.000u      0.000s      0.002w      9 calls
DIISManager::add_entry      :      0.000u      0.000s      0.001w      8 calls
DIISManager::extrapolate    :      0.000u      0.000s      0.001w      7 calls
bMatrix setup               :      0.000u      0.000s      0.000w      7 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      7 calls
New vector                  :      0.000u      0.000s      0.000w      7 calls
HF: Form C                  :      0.000u      0.000s      0.001w      9 calls
HF: Form D                  :      0.000u      0.000s      0.000w      9 calls

-----------------------------------------------------------
DFH: initialize()           :      0.100u      0.000s      0.070w      1 calls
| DFH: sparsity prep        :      0.033u      0.000s      0.023w      1 calls
| DFH: AO Construction      :      0.000u      0.000s      0.005w      1 calls
| DFH: AO-Met. Contraction  :      0.000u      0.000s      0.001w      1 calls
HF: Form H                  :      0.000u      0.000s      0.006w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.000w      1 calls
HF: Guess                   :      0.200u      0.000s      0.114w      1 calls
| SAD Guess                 :      0.183u      0.000s      0.111w      1 calls
HF: Form G                  :      0.000u      0.000s      0.002w      9 calls
| JK: D                     :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w      9 calls
| JK: JK                    :      0.000u      0.000s      0.002w      9 calls
| | DFH: compute_JK()       :      0.000u      0.000s      0.002w      9 calls
| | | DFH: Grabbing AOs     :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J        :      0.000u      0.000s      0.001w      9 calls
| | | DFH: compute_K        :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w      9 calls
HF: Form F                  :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                    :      0.000u      0.000s      0.002w      9 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.001w      8 calls
| DIISManager::extrapolate  :      0.000u      0.000s      0.001w      7 calls
| | bMatrix setup           :      0.000u      0.000s      0.000w      7 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      7 calls
| | New vector              :      0.000u      0.000s      0.000w      7 calls
HF: Form C                  :      0.000u      0.000s      0.001w      9 calls
HF: Form D                  :      0.000u      0.000s      0.000w      9 calls

***********************************************************

Host: m6.lobos.nih.gov

Timers On : Sat Sep  1 17:27:52 2018
Timers Off: Sat Sep  1 17:27:56 2018

Wall Time:        4.19 seconds

DFH: initialize()           :      0.717u      0.000s      0.433w      6 calls
DFH: sparsity prep          :      0.217u      0.000s      0.139w      6 calls
DFH: AO Construction        :      0.067u      0.000s      0.028w      6 calls
DFH: AO-Met. Contraction    :      0.000u      0.000s      0.003w      6 calls
HF: Form H                  :      0.017u      0.017s      0.031w      6 calls
HF: Form S/X                :      0.000u      0.000s      0.001w      6 calls
HF: Guess                   :      0.383u      0.000s      0.227w      6 calls
SAD Guess                   :      0.367u      0.000s      0.222w      2 calls
HF: Form G                  :      0.000u      0.017s      0.012w     56 calls
JK: D                       :      0.000u      0.000s      0.000w     56 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     56 calls
JK: JK                      :      0.000u      0.017s      0.010w     56 calls
DFH: compute_JK()           :      0.000u      0.017s      0.010w     56 calls
DFH: Grabbing AOs           :      0.000u      0.000s      0.000w     56 calls
DFH: compute_J              :      0.000u      0.000s      0.003w     56 calls
DFH: compute_K              :      0.000u      0.017s      0.006w     56 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     56 calls
